invoice_id,customer_id,amount,currency,invoice_date,reference_number,status
INV-1001,CUS-101,1500.00,INR,2026-06-25,DEMO-REF-101,Paid
INV-1002,CUS-102,2250.00,INR,2026-06-25,DEMO-REF-102,Paid
INV-1003,CUS-103,3120.50,INR,2026-06-26,DEMO-REF-103,Paid
INV-1004,CUS-104,440.00,INR,2026-06-26,DEMO-REF-104,Paid
INV-1005,CUS-105,1875.25,INR,2026-06-27,DEMO-REF-105,Paid
INV-1006,CUS-106,999.00,INR,2026-06-27,DEMO-REF-106,Paid
INV-1007,CUS-107,2600.00,INR,2026-06-28,DEMO-REF-107,Paid
INV-1008,CUS-108,1750.00,INR,2026-06-28,DEMO-REF-108,Paid
INV-1009,CUS-109,1200.00,INR,2026-06-29,DEMO-REF-109,Paid
INV-1010,CUS-111,520.00,INR,2026-06-29,DEMO-REF-110,Paid
INV-1011,CUS-112,6400.00,INR,2026-06-30,DEMO-REF-112,Paid
INV-1012,CUS-113,75.50,INR,2026-06-30,DEMO-REF-113,Paid
INV-1013,CUS-114,3400.00,INR,2026-07-01,DEMO-REF-114,Paid
