payment_id,customer_id,amount,currency,payment_date,reference_number,status
PMT-0001,CUS-101,1500.00,INR,2026-07-01,DEMO-REF-101,Cleared
PMT-0002,CUS-102,2250.00,INR,2026-07-01,DEMO-REF-102,Cleared
PMT-0003,CUS-103,3120.50,INR,2026-07-02,DEMO-REF-103,Cleared
PMT-0004,CUS-104,440.00,INR,2026-07-02,DEMO-REF-104,Cleared
PMT-0005,CUS-105,1875.25,INR,2026-07-03,DEMO-REF-105,Cleared
PMT-0006,CUS-106,999.00,INR,2026-07-03,DEMO-REF-106,Cleared
PMT-0007,CUS-107,2600.00,INR,2026-07-04,DEMO-REF-107,Cleared
PMT-0008,CUS-108,1750.00,INR,2026-07-04,DEMO-REF-108,Cleared
PMT-0009,CUS-109,1200.00,INR,2026-07-05,DEMO-REF-109,Cleared
PMT-0010,CUS-110,1200.00,INR,2026-07-06,DEMO-REF-109,Cleared
PMT-0011,CUS-111,520.00,INR,2026-07-06,DEMO-REF-110,Cleared
PMT-0012,CUS-112,6400.00,INR,2026-07-07,DEMO-REF-112,Cleared
PMT-0013,CUS-113,75.50,INR,2026-07-07,DEMO-REF-113,Cleared
PMT-0014,CUS-114,3400.00,INR,2026-07-08,DEMO-REF-114,Cleared
