bankTransactionId,referenceId,amount,transactionDate,currency,type,status,description
BANK-700002,PAY-100002,2519.2400000000002,2026-07-09T05:25:31.603Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500002
BANK-700003,PAY-100003,85334.95,2026-08-11T03:53:21.788Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500003
BANK-700005,PAY-100005,55095.79,2026-08-04T13:19:30.480Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500005
BANK-700006,PAY-100006,82167.95,2026-08-21T14:14:01.884Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500006
BANK-700007,PAY-100007,2343.28,2026-08-23T15:03:42.579Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500007
BANK-700008,PAY-100008,38137.73,2026-08-14T11:31:31.569Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500008
BANK-700009,PAY-100009,99029.72,2026-07-07T23:21:51.344Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500009
BANK-700010,PAY-100010,12787.41,2026-08-07T05:12:24.376Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500010
BANK-700011,PAY-100011,21655.33,2026-07-05T03:56:24.261Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500011
BANK-700012,PAY-100012,88298.32,2026-07-13T18:06:38.695Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500012
BANK-700013,PAY-100013,33734.44,2026-07-09T21:22:55.112Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500013
BANK-700014,PAY-100014,92159.22,2026-07-30T09:50:52.531Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500014
BANK-700015,PAY-100015,11947.46,2026-07-11T03:50:11.254Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500015
BANK-700016,PAY-100016,69812.66,2026-07-16T18:57:47.041Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500016
BANK-700017,PAY-100017,88194.01,2026-08-14T12:39:20.681Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500017
BANK-700020,PAY-100020,82589.92,2026-08-21T18:45:49.298Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500020
BANK-700021,PAY-100021,28388.91,2026-08-24T07:10:04.240Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500021
BANK-700022,PAY-100022,31671.24,2026-07-18T02:38:07.674Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500022
BANK-700023,PAY-100023,64833.22,2026-07-31T22:31:41.060Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500023
BANK-700024,PAY-100024,70102.91,2026-08-07T19:36:30.867Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500024
BANK-700025,PAY-100025,41890.32,2026-07-18T08:38:59.233Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500025
BANK-700026,PAY-100026,57178.67,2026-07-03T13:07:29.951Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500026
BANK-700027,PAY-100027,50270.82,2026-09-01T18:36:07.625Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500027
BANK-700028,PAY-100028,30950.02,2026-08-29T19:28:49.670Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500028
BANK-700029,PAY-100029,46005.09,2026-08-31T07:29:38.193Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500029
BANK-700030,PAY-100030,30393.13,2026-08-13T17:52:55.579Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500030
BANK-700031,PAY-100031,72139.35,2026-07-27T02:10:08.175Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500031
BANK-700032,PAY-100032,90420.52,2026-08-05T18:03:25.324Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500032
BANK-700033,PAY-100033,62138.47,2026-07-06T07:54:26.452Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500033
BANK-700035,PAY-100035,35329.59,2026-08-05T19:41:45.563Z,INR,CREDIT,SETTLED,PayGateway settlement ORD-500035
BANK-700036,PAY-100036,58999.23,2026-07-11T13:43:47.697Z,INR,CREDIT,SETTLED,SyntheticPay settlement ORD-500036
BANK-700037,PAY-100037,28317.07,2026-07-29T05:40:57.731Z,INR,CREDIT,SETTLED,QuickPay settlement ORD-500037
