invoiceId,orderId,customerId,invoiceAmount,invoiceDate,currency,status,description
INV-900001,ORD-500001,CUS-200001,25309.28,2026-08-05T01:08:22.827Z,INR,PAID,Invoice for order ORD-500001
INV-900002,ORD-500002,CUS-200002,2663.82,2026-07-07T06:25:31.603Z,INR,PAID,Invoice for order ORD-500002
INV-900003,ORD-500003,CUS-200003,85334.95,2026-08-08T05:53:21.788Z,INR,PAID,Invoice for order ORD-500003
INV-900004,ORD-500004,CUS-200004,9165.94,2026-08-27T07:55:45.253Z,INR,PAID,Invoice for order ORD-500004
INV-900005,ORD-500005,CUS-200005,55095.79,2026-08-02T14:19:30.480Z,INR,PAID,Invoice for order ORD-500005
INV-900006,ORD-500006,CUS-200006,82167.95,2026-08-19T18:14:01.884Z,INR,PAID,Invoice for order ORD-500006
INV-900007,ORD-500007,CUS-200007,2343.28,2026-08-19T23:03:42.579Z,INR,PAID,Invoice for order ORD-500007
INV-900008,ORD-500008,CUS-200008,38137.73,2026-08-12T05:31:31.569Z,INR,PAID,Invoice for order ORD-500008
INV-900009,ORD-500009,CUS-200009,99029.72,2026-07-06T08:21:51.344Z,INR,PAID,Invoice for order ORD-500009
INV-900010,ORD-500010,CUS-200010,12787.41,2026-08-05T08:12:24.376Z,INR,PAID,Invoice for order ORD-500010
INV-900011,ORD-500011,CUS-200011,21655.33,2026-07-01T14:56:24.261Z,INR,PAID,Invoice for order ORD-500011
INV-900012,ORD-500012,CUS-200012,88298.32,2026-07-12T11:06:38.695Z,INR,PAID,Invoice for order ORD-500012
INV-900013,ORD-500013,CUS-200013,33734.44,2026-07-08T20:22:55.112Z,INR,PAID,Invoice for order ORD-500013
INV-900014,ORD-500014,CUS-200014,92159.22,2026-07-27T01:50:52.531Z,INR,PAID,Invoice for order ORD-500014
INV-900015,ORD-500015,CUS-200015,11947.46,2026-07-07T19:50:11.254Z,INR,PAID,Invoice for order ORD-500015
INV-900016,ORD-500016,CUS-200016,69812.66,2026-07-13T13:57:47.041Z,INR,PAID,Invoice for order ORD-500016
INV-900017,ORD-500017,CUS-200017,88194.01,2026-08-11T20:39:20.681Z,INR,PAID,Invoice for order ORD-500017
INV-900018,ORD-500018,CUS-200018,15400.4,2026-08-02T17:17:11.011Z,INR,PAID,Invoice for order ORD-500018
INV-900019,ORD-500019,CUS-200019,42653.67,2026-07-26T13:54:25.364Z,INR,PAID,Invoice for order ORD-500019
INV-900020,ORD-500020,CUS-200020,82589.92,2026-08-18T15:45:49.298Z,INR,PAID,Invoice for order ORD-500020
INV-900021,ORD-500021,CUS-200021,28388.91,2026-08-21T05:10:04.240Z,INR,PAID,Invoice for order ORD-500021
INV-900022,ORD-500022,CUS-200022,31671.24,2026-07-16T11:38:07.674Z,INR,PAID,Invoice for order ORD-500022
INV-900023,ORD-500023,CUS-200023,64833.22,2026-07-29T11:31:41.060Z,INR,PAID,Invoice for order ORD-500023
INV-900024,ORD-500024,CUS-200024,70102.91,2026-08-06T18:36:30.867Z,INR,PAID,Invoice for order ORD-500024
INV-900025,ORD-500025,CUS-200025,41890.32,2026-07-14T16:38:59.233Z,INR,PAID,Invoice for order ORD-500025
INV-900026,ORD-500026,CUS-200026,57178.67,2026-07-02T07:07:29.951Z,INR,PAID,Invoice for order ORD-500026
INV-900027,ORD-500027,CUS-200027,50270.82,2026-08-29T06:36:07.625Z,INR,PAID,Invoice for order ORD-500027
INV-900028,ORD-500028,CUS-200028,30950.02,2026-08-11T16:28:49.670Z,INR,PAID,Invoice for order ORD-500028
INV-900029,ORD-500029,CUS-200029,46005.09,2026-08-28T16:29:38.193Z,INR,PAID,Invoice for order ORD-500029
INV-900030,ORD-500030,CUS-200030,30393.13,2026-08-09T18:52:55.579Z,INR,PAID,Invoice for order ORD-500030
