paymentId,orderId,customerId,amount,currency,paymentDate,paymentMethod,status,gateway,description
PAY-100001,ORD-500001,CUS-200001,25309.28,INR,2026-08-05T05:08:22.827Z,UPI,SUCCESS,PayGateway,Order ORD-500001 payment
PAY-100002,ORD-500002,CUS-200002,2663.82,INR,2026-07-08T05:25:31.603Z,WALLET,SUCCESS,QuickPay,Order ORD-500002 payment
PAY-100003,ORD-500003,CUS-200003,85334.95,INR,2026-08-09T03:53:21.788Z,WALLET,SUCCESS,PayGateway,Order ORD-500003 payment
PAY-100004,ORD-500004,CUS-200004,9165.94,INR,2026-08-27T22:55:45.253Z,WALLET,SUCCESS,QuickPay,Order ORD-500004 payment
PAY-100005,ORD-500005,CUS-200005,55095.79,INR,2026-08-03T13:19:30.480Z,CARD,SUCCESS,QuickPay,Order ORD-500005 payment
PAY-100006,ORD-500006,CUS-200006,82167.95,INR,2026-08-20T14:14:01.884Z,CARD,SUCCESS,SyntheticPay,Order ORD-500006 payment
PAY-100007,ORD-500007,CUS-200007,2343.28,INR,2026-08-20T15:03:42.579Z,WALLET,SUCCESS,QuickPay,Order ORD-500007 payment
PAY-100008,ORD-500008,CUS-200008,38137.73,INR,2026-08-12T11:31:31.569Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500008 payment
PAY-100009,ORD-500009,CUS-200009,99029.72,INR,2026-07-06T23:21:51.344Z,UPI,SUCCESS,PayGateway,Order ORD-500009 payment
PAY-100010,ORD-500010,CUS-200010,12787.41,INR,2026-08-06T05:12:24.376Z,WALLET,SUCCESS,PayGateway,Order ORD-500010 payment
PAY-100011,ORD-500011,CUS-200011,21655.33,INR,2026-07-02T03:56:24.261Z,CARD,SUCCESS,PayGateway,Order ORD-500011 payment
PAY-100012,ORD-500012,CUS-200012,88298.32,INR,2026-07-12T18:06:38.695Z,WALLET,SUCCESS,PayGateway,Order ORD-500012 payment
PAY-100013,ORD-500013,CUS-200013,33734.44,INR,2026-07-08T21:22:55.112Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500013 payment
PAY-100014,ORD-500014,CUS-200014,92159.22,INR,2026-07-27T09:50:52.531Z,NETBANKING,SUCCESS,SyntheticPay,Order ORD-500014 payment
PAY-100015,ORD-500015,CUS-200015,11947.46,INR,2026-07-08T03:50:11.254Z,UPI,SUCCESS,PayGateway,Order ORD-500015 payment
PAY-100016,ORD-500016,CUS-200016,69812.66,INR,2026-07-13T18:57:47.041Z,UPI,SUCCESS,QuickPay,Order ORD-500016 payment
PAY-100017,ORD-500017,CUS-200017,88194.01,INR,2026-08-12T12:39:20.681Z,WALLET,SUCCESS,PayGateway,Order ORD-500017 payment
PAY-100018,ORD-500018,CUS-200018,15400.4,INR,2026-08-02T22:17:11.011Z,NETBANKING,SUCCESS,QuickPay,Order ORD-500018 payment
PAY-100019,ORD-500019,CUS-200019,42653.67,INR,2026-07-27T05:54:25.364Z,UPI,SUCCESS,SyntheticPay,Order ORD-500019 payment
PAY-100020,ORD-500020,CUS-200020,82589.92,INR,2026-08-18T18:45:49.298Z,UPI,SUCCESS,PayGateway,Order ORD-500020 payment
PAY-100021,ORD-500021,CUS-200021,28388.91,INR,2026-08-21T07:10:04.240Z,WALLET,SUCCESS,SyntheticPay,Order ORD-500021 payment
